0.0	0
0.0	-2
0.1	-3
0.1	-3
0.1	-4
0.2	-8
0.2	-5
0.2	0
0.3	3
0.3	3
0.3	3
0.4	2
0.4	1
0.4	0
0.5	0
0.5	-1
0.5	-1
0.6	-2
0.6	-2
0.6	-2
0.7	-2
0.7	-3
0.7	-3
0.8	-3
0.8	-3
0.8	-3
0.9	-3
0.9	-3
0.9	-3
1.0	-3
1.0	-3
1.0	-4
1.1	-4
1.1	-4
1.1	-4
1.2	-4
1.2	-4
1.2	-4
1.3	-4
1.3	-4
1.3	-4
1.4	-4
1.4	-4
1.4	-4
1.5	-4
1.5	-4
1.5	-4
1.6	-4
1.6	-4
1.6	-4
1.7	-4
1.7	-4
1.7	-4
1.8	-4
1.8	-4
1.8	-4
1.9	-4
1.9	-4
1.9	-4
2.0	-4
2.0	-4
2.0	-4
2.1	-4
2.1	-4
2.1	-4
2.2	-4
2.2	-4
2.2	-4
2.3	-4
2.3	-4
2.3	-4
2.4	-4
2.4	-4
2.4	-4
2.5	-4
2.5	-4
2.5	-4
2.6	-4
2.6	-4
2.6	-4
2.7	-4
2.7	-4
2.7	-4
2.8	-4
2.8	-4
2.8	-4
2.9	-4
2.9	-4
2.9	-4
3.0	-4
3.0	-4
3.0	-4
3.1	-4
3.1	-4
3.1	-4
3.2	-4
3.2	-4
3.2	-4
3.3	-4
3.3	-4
3.3	-4
3.4	-4
3.4	-4
3.4	-4
3.5	-4
3.5	-4
3.5	-4
3.6	-5
3.6	-4
3.6	-5
3.7	-5
3.7	-4
3.7	-5
3.8	-5
3.8	-5
3.8	-5
3.9	-5
3.9	-5
3.9	-5
4.0	-5
4.0	-5
4.0	-5
4.1	-5
4.1	-5
4.1	-5
4.2	-5
4.2	-5
4.2	-5
4.3	-5
4.3	-5
4.3	-5
4.4	-5
4.4	-5
4.4	-5
4.5	-5
4.5	-5
4.5	-5
4.6	-5
4.6	-5
4.6	-5
4.7	-5
4.7	-5
4.7	-5
4.8	-5
4.8	-5
4.8	-5
4.9	-5
4.9	-5
4.9	-5
5.0	-5
5.0	-5
5.0	-5
5.1	-5
5.1	-5
5.1	-5
5.2	-5
5.2	-5
5.2	-5
5.3	-5
5.3	-5
5.3	-5
5.4	-5
5.4	-5
5.4	-5
5.5	-5
5.5	-5
5.5	-5
5.6	-5
5.6	-5
5.6	-5
5.7	-5
5.7	-5
5.7	-5
5.8	-5
5.8	-5
5.8	-5
5.9	-5
5.9	-5
5.9	-5
6.0	-5
6.0	-5
6.0	-5
6.1	-5
6.1	-5
6.1	-5
6.2	-5
6.2	-5
6.2	-5
6.3	-5
6.3	-5
6.3	-5
6.4	-5
6.4	-5
6.4	-5
6.5	-5
6.5	-5
6.5	-5
6.6	-5
6.6	-5
6.6	-5
6.7	-5
6.7	-5
6.7	-5
6.8	-5
6.8	-5
6.8	-5
6.9	-5
6.9	-5
6.9	-5
7.0	-5
7.0	-5
7.0	-5
7.1	-5
7.1	-5
7.1	-5
7.2	-5
7.2	-5
7.2	-5
7.3	-5
7.3	-5
7.3	-5
7.4	-5
7.4	-5
7.4	-5
7.4	-5
7.5	-5
7.5	-5
7.5	-5
7.6	-5
7.6	-5
7.6	-4
7.7	-4
7.7	-4
7.7	-4
7.8	-4
7.8	-3
7.8	-3
7.9	-2
7.9	-1
7.9	0
8.0	0
8.0	1
8.0	1
8.1	1
8.1	1
8.1	1
8.2	0
8.2	0
8.2	0
8.3	-1
8.3	-1
8.3	-1
8.4	-1
8.4	-1
8.4	-2
8.5	-2
8.5	-2
8.5	-2
8.6	-2
8.6	-2
8.6	-3
8.7	-3
8.7	-3
8.7	-3
8.8	-3
8.8	-3
8.8	-3
8.9	-3
8.9	-3
8.9	-3
9.0	-3
9.0	-4
9.0	-4
9.1	-4
9.1	-4
9.1	-4
9.2	-4
9.2	-4
9.2	-4
9.3	-4
9.3	-4
9.3	-4
9.4	-4
9.4	-4
9.4	-4
9.5	-4
9.5	-4
9.5	-4
9.6	-4
9.6	-4
9.6	-4
9.7	-4
9.7	-4
9.7	-4
9.8	-4
9.8	-4
9.8	-4
9.9	-4
9.9	-4
9.9	-4
10.0	-4
10.0	-4
10.0	-4
10.1	-4
10.1	-4
10.1	-4
10.2	-4
10.2	-4
10.2	-4
10.3	-4
10.3	-4
10.3	-4
10.4	-4
10.4	-4
10.4	-4
10.5	-4
10.5	-4
10.5	-4
10.6	-4
10.6	-4
10.6	-4
10.7	-4
10.7	-4
10.7	-4
10.8	-4
10.8	-4
10.8	-4
10.9	-4
10.9	-5
10.9	-5
11.0	-5
11.0	-5
11.0	-5
11.1	-5
11.1	-5
11.1	-5
11.2	-5
11.2	-5
11.2	-5
11.3	-5
11.3	-5
11.3	-5
11.4	-5
11.4	-5
11.4	-5
11.5	-5
11.5	-4
11.5	-4
11.6	-4
11.6	-4
11.6	-4
11.7	-4
11.7	-4
